date,acres,lat,lon
1974-10-29T08:00:00Z,0.0,47.871736,-121.723832
2004-04-25T08:00:00Z,6.0,47.782915,-117.747217
1989-07-05T08:00:00Z,8.0,47.45792,-117.392678
1973-05-29T08:00:00Z,0.0,46.062023,-122.297619
1986-08-12T08:00:00Z,0.1,48.486853,-117.943133
1997-06-30T08:00:00Z,0.3,45.942176,-120.705865
2002-05-02T08:00:00Z,0.5,47.854877,-117.39218
1995-05-20T08:00:00Z,0.7,46.643211,-122.905591
1995-09-06T08:00:00Z,0.0,46.259262,-117.427248
1987-08-31T08:00:00Z,0.1,47.62671,-122.769959
2006-08-10T08:00:00Z,0.2,48.102249,-117.129452
1977-08-10T08:00:00Z,0.1,47.498853,-123.308229
1977-08-07T08:00:00Z,0.1,47.498853,-123.308229
1977-08-07T08:00:00Z,0.1,47.498853,-123.308229
1994-09-01T08:00:00Z,0.0,45.911309,-121.495432
2002-08-16T08:00:00Z,2.0,48.537862,-117.938545
2005-06-30T08:00:00Z,0.1,48.992888,-118.530274
1974-09-13T08:00:00Z,0.0,48.667,-122.916222
1973-04-07T08:00:00Z,0.1,48.667,-122.916222
2004-07-02T08:00:00Z,12.0,47.839894,-117.462284
1981-07-28T08:00:00Z,0.1,48.445536,-118.138996
1972-07-04T08:00:00Z,0.0,46.439909,-124.044521
2001-07-14T08:00:00Z,0.3,48.490416,-118.030726
1973-08-18T08:00:00Z,0.2,47.831156,-122.61719
2004-09-01T08:00:00Z,0.1,48.613369,-118.692286
1992-06-27T08:00:00Z,0.1,48.837395,-119.683609
2004-03-29T08:00:00Z,0.3,48.603361,-117.9439
1979-07-21T08:00:00Z,0.0,46.510799,-122.210125
2000-09-08T08:00:00Z,0.8,47.316006,-120.980302
1989-07-28T08:00:00Z,0.0,47.240849,-121.971358
1980-10-01T08:00:00Z,2.0,46.438313,-123.083566
1979-09-08T08:00:00Z,0.0,46.438313,-123.083566
1983-06-25T08:00:00Z,0.2,48.230601,-118.007537
2007-08-29T08:00:00Z,0.1,47.030172,-123.047136
1986-08-07T08:00:00Z,0.1,47.030172,-123.047136
1987-06-29T08:00:00Z,0.7,47.372538,-122.739947
